"name"	"seed"	"size"	"replicates"	"p_umbral"	"exp_lambda"	"alpha_pen"	"n_pen"	"c"
"experimento_1"	1	500	1000	0.8	0.5	0.4	1	0.8
"experimento_2"	2	1000	1000	0.8	0.5	0.4	1	0.8
"experimento_3"	3	1500	1000	0.8	0.5	0.4	1	0.8
"experimento_4"	4	2000	1000	0.8	0.5	0.4	1	0.8
"experimento_5"	5	5000	1000	0.8	0.5	0.4	1	0.8
"experimento_6"	6	10000	1000	0.8	0.5	0.4	1	0.8
"experimento_7"	7	500	1000	0.95	0.5	0.4	1	0.8
"experimento_8"	8	1000	1000	0.95	0.5	0.4	1	0.8
"experimento_9"	9	1500	1000	0.95	0.5	0.4	1	0.8
"experimento_10"	10	2000	1000	0.95	0.5	0.4	1	0.8
"experimento_11"	11	5000	1000	0.95	0.5	0.4	1	0.8
"experimento_12"	12	10000	1000	0.95	0.5	0.4	1	0.8
"experimento_13"	13	500	1000	0.8	1	0.4	1	0.8
"experimento_14"	14	1000	1000	0.8	1	0.4	1	0.8
"experimento_15"	15	1500	1000	0.8	1	0.4	1	0.8
"experimento_16"	16	2000	1000	0.8	1	0.4	1	0.8
"experimento_17"	17	5000	1000	0.8	1	0.4	1	0.8
"experimento_18"	18	10000	1000	0.8	1	0.4	1	0.8
"experimento_19"	19	500	1000	0.95	1	0.4	1	0.8
"experimento_20"	20	1000	1000	0.95	1	0.4	1	0.8
"experimento_21"	21	1500	1000	0.95	1	0.4	1	0.8
"experimento_22"	22	2000	1000	0.95	1	0.4	1	0.8
"experimento_23"	23	5000	1000	0.95	1	0.4	1	0.8
"experimento_24"	24	10000	1000	0.95	1	0.4	1	0.8
"experimento_25"	25	500	1000	0.8	10	0.4	1	0.8
"experimento_26"	26	1000	1000	0.8	10	0.4	1	0.8
"experimento_27"	27	1500	1000	0.8	10	0.4	1	0.8
"experimento_28"	28	2000	1000	0.8	10	0.4	1	0.8
"experimento_29"	29	5000	1000	0.8	10	0.4	1	0.8
"experimento_30"	30	10000	1000	0.8	10	0.4	1	0.8
"experimento_31"	31	500	1000	0.95	10	0.4	1	0.8
"experimento_32"	32	1000	1000	0.95	10	0.4	1	0.8
"experimento_33"	33	1500	1000	0.95	10	0.4	1	0.8
"experimento_34"	34	2000	1000	0.95	10	0.4	1	0.8
"experimento_35"	35	5000	1000	0.95	10	0.4	1	0.8
"experimento_36"	36	10000	1000	0.95	10	0.4	1	0.8
"experimento_37"	37	500	1000	0.8	30	0.4	1	0.8
"experimento_38"	38	1000	1000	0.8	30	0.4	1	0.8
"experimento_39"	39	1500	1000	0.8	30	0.4	1	0.8
"experimento_40"	40	2000	1000	0.8	30	0.4	1	0.8
"experimento_41"	41	5000	1000	0.8	30	0.4	1	0.8
"experimento_42"	42	10000	1000	0.8	30	0.4	1	0.8
"experimento_43"	43	500	1000	0.95	30	0.4	1	0.8
"experimento_44"	44	1000	1000	0.95	30	0.4	1	0.8
"experimento_45"	45	1500	1000	0.95	30	0.4	1	0.8
"experimento_46"	46	2000	1000	0.95	30	0.4	1	0.8
"experimento_47"	47	5000	1000	0.95	30	0.4	1	0.8
"experimento_48"	48	10000	1000	0.95	30	0.4	1	0.8
"experimento_49"	49	500	1000	0.8	50	0.4	1	0.8
"experimento_50"	50	1000	1000	0.8	50	0.4	1	0.8
"experimento_51"	51	1500	1000	0.8	50	0.4	1	0.8
"experimento_52"	52	2000	1000	0.8	50	0.4	1	0.8
"experimento_53"	53	5000	1000	0.8	50	0.4	1	0.8
"experimento_54"	54	10000	1000	0.8	50	0.4	1	0.8
"experimento_55"	55	500	1000	0.95	50	0.4	1	0.8
"experimento_56"	56	1000	1000	0.95	50	0.4	1	0.8
"experimento_57"	57	1500	1000	0.95	50	0.4	1	0.8
"experimento_58"	58	2000	1000	0.95	50	0.4	1	0.8
"experimento_59"	59	5000	1000	0.95	50	0.4	1	0.8
"experimento_60"	60	10000	1000	0.95	50	0.4	1	0.8
"experimento_61"	61	500	1000	0.8	4	0.4	1	0.8
"experimento_62"	62	1000	1000	0.8	4	0.4	1	0.8
"experimento_63"	63	1500	1000	0.8	4	0.4	1	0.8
"experimento_64"	64	2000	1000	0.8	4	0.4	1	0.8
"experimento_65"	65	5000	1000	0.8	4	0.4	1	0.8
"experimento_66"	66	10000	1000	0.8	4	0.4	1	0.8
"experimento_67"	67	500	1000	0.95	19	0.4	1	0.8
"experimento_68"	68	1000	1000	0.95	19	0.4	1	0.8
"experimento_69"	69	1500	1000	0.95	19	0.4	1	0.8
"experimento_70"	70	2000	1000	0.95	19	0.4	1	0.8
"experimento_71"	71	5000	1000	0.95	19	0.4	1	0.8
"experimento_72"	72	10000	1000	0.95	19	0.4	1	0.8
